Label,Notation,Parent Notation,Sort Priority
"nearest employment centre with 100 to 499 jobs by PT/walk",100empptt,,1
"employment centres with 100 to 499 jobs available by PT/walk within 15 minutes",100emppt15n,,2
"employment centres with 100 to 499 jobs available by PT/walk within 30 minutes",100emppt30n,,3
"employment centres with 100 to 499 jobs available by PT/walk within 45 minutes",100emppt45n,,4
"employment centres with 100 to 499 jobs available by PT/walk within 60 minutes",100emppt60n,,5
"users within 15 minutes of employment centres with 100 to 499 jobs available by PT/walk",100emppt15pct,,6
"users within 30 minutes of employment centres with 100 to 499 jobs available by PT/walk",100emppt30pct,,7
"users within 45 minutes of employment centres with 100 to 499 jobs available by PT/walk",100emppt45pct,,8
"users within 60 minutes of employment centres with 100 to 499 jobs available by PT/walk",100emppt60pct,,9
"nearest employment centre with 100 to 499 jobs by cycle",100empcyct,,10
"employment centres with 100 to 499 jobs available by cycle within 15 minutes",100empcyc15n,,11
"employment centres with 100 to 499 jobs available by cycle within 30 minutes",100empcyc30n,,12
"employment centres with 100 to 499 jobs available by cycle within 45 minutes",100empcyc45n,,13
"employment centres with 100 to 499 jobs available by cycle within 60 minutes",100empcyc60n,,14
"users within 15 minutes of employment centres with 100 to 499 jobs available by cycle",100empcyc15pct,,15
"users within 30 minutes of employment centres with 100 to 499 jobs available by cycle",100empcyc30pct,,16
"users within 45 minutes of employment centres with 100 to 499 jobs available by cycle",100empcyc45pct,,17
"users within 60 minutes of employment centres with 100 to 499 jobs available by cycle",100empcyc60pct,,18
"nearest employment centre with 100 to 499 jobs by car",100empcart,,19
"employment centres with 100 to 499 jobs available by car within 15 minutes",100empcar15n,,20
"employment centres with 100 to 499 jobs available by car within 30 minutes",100empcar30n,,21
"employment centres with 100 to 499 jobs available by car within 45 minutes",100empcar45n,,22
"employment centres with 100 to 499 jobs available by car within 60 minutes",100empcar60n,,23
"users within 15 minutes of employment centres with 100 to 499 jobs available by car",100empcar15pct,,24
"users within 30 minutes of employment centres with 100 to 499 jobs available by car",100empcar30pct,,25
